ita_capri_tree.webp,"Capri, Italy"
ita_sorrento_cliff.webp,"Sorrento, Italy"
ita_vatican_clock.webp,"Vatican City, Vatican City"
ita_vatican_statue.webp,"Vatican City, Vatican City"
ita_villa_borghese.webp,"Villa Borghese, Rome, Italy"
jpn_ asakusa.webp,"Senso-ji, Asakusa, Japan"
jpn_dragon_roof.webp,"Nanzen-ji, Kyoto, Japan"
jpn_harajuku.webp,"Harajuku, Tokyo, Japan"
jpn_kyoto_kiyomizu.webp,"Kiyomizudera, Kyoto, Japan"
jpn_nanzenji.webp,"Nanzen-ji, Kyoto, Japan"
jpn_shibuya_night.webp,"Shibuya, Tokyo, Japan"
jpn_shibuya_street.webp,"Shibuya, Tokyo, Japan"
jpn_tenryuji_buddha.webp,"Tenryu-ji, Kyoto, Japan"
jpn_tokyo_tower.webp,"Shibuya, Tokyo, Japan"
usa_halfMoon_harbor.webp,"Pillar Point Harbor, Half Moon Bay, CA, USA"
usa_halfMoon_kayaks.webp,"Pillar Point Harbor, Half Moon Bay, CA, USA"
usa_halfMoon_miradaSurfBeach.webp,"Mirada Surf Beach, Half Moon Bay, CA, USA"
usa_halfMoon_sail.webp,"Pillar Point Harbor, Half Moon Bay, CA, USA"
usa_halfMoon_surfersBeach.webp,"Surfers Beach, Half Moon Bay, CA, USA"
usa_montara_beach.webp,"Montara State Beach, Montara, CA, USA"
usa_montara_flower.webp,"Montara State Beach, Montara, CA, USA"
